FeatID,Average
1817,7.7454
76,7.7436
633,7.7428
65,7.7358
1852,7.7317
1900,7.7297
1801,7.7279
1912,7.7278
2044,7.7274
1824,7.7241
866,7.7224
411,7.7168
1119,7.7162
149,7.7156
1020,7.7142
1770,7.7142
1035,7.7106
1996,7.7088
449,7.7075
1844,7.7074
43,7.7053
652,7.7042
2039,7.7039
294,7.6985
1294,7.698
1286,7.694
468,7.6912
1530,7.6888
1634,7.6847
206,7.6841
1326,7.6796
576,7.6733
746,7.6716
1450,7.67
2116,7.6691
2000,7.6687
1603,7.6658
664,7.6605
1411,7.6597
1644,7.6593
397,7.6593
1668,7.6589
1420,7.6556
1044,7.6501
125,7.6478
112,7.6467
1048,7.6448
39,7.6404
291,7.6381
577,7.6377
1256,7.6377
1989,7.6333
694,7.6312
1015,7.631
1071,7.6298
1295,7.6266
924,7.6266
2099,7.6255
641,7.6247
538,7.6222
1073,7.621
2104,7.6147
366,7.6126
903,7.6066
178,7.6021
2093,7.6017
133,7.5985
1510,7.5931
1759,7.5865
1086,7.5807
1038,7.5794
1880,7.5763
855,7.5751
420,7.5737
616,7.5664
786,7.5656
682,7.5598
1369,7.5568
1393,7.5538
1291,7.5524
1273,7.552
105,7.5512
559,7.5458
424,7.5429
719,7.5417
1596,7.5393
795,7.539
1953,7.5364
1835,7.536
542,7.5357
789,7.535
2072,7.5341
481,7.5324
971,7.5254
607,7.5245
1213,7.5215
1749,7.5164
1474,7.5117
162,7.5111
918,7.5081
986,7.4996
334,7.4967
347,7.4883
1473,7.4862
1271,7.4851
172,7.4793
1138,7.476
487,7.4741
844,7.4737
927,7.4737
410,7.4735
1459,7.4732
232,7.4652
501,7.4627
1558,7.4552
1823,7.4513
1535,7.4501
791,7.4498
1108,7.4479
696,7.4477
309,7.447
1574,7.447
1423,7.4422
515,7.4401
115,7.4387
793,7.4376
1591,7.4327
1239,7.4298
435,7.4296
315,7.4241
1010,7.4172
663,7.4151
634,7.4076
1864,7.4065
1621,7.4065
1782,7.4045
856,7.4014
2136,7.4014
585,7.4008
998,7.3976
1858,7.3895
1785,7.3862
1679,7.3851
477,7.3822
1937,7.3808
803,7.3765
1188,7.3763
1737,7.376
1693,7.3749
1195,7.3733
1025,7.3729
1649,7.3683
2173,7.3665
2095,7.3612
1257,7.3597
1495,7.358
833,7.3533
1886,7.35
2106,7.349
884,7.3446
562,7.3404
1230,7.3402
1412,7.3358
480,7.3341
1730,7.325
905,7.3241
2117,7.3235
10,7.3211
2120,7.3206
1800,7.319
626,7.317
1561,7.317
687,7.3143
1384,7.3075
773,7.3062
778,7.3054
1065,7.2989
69,7.291
1919,7.2894
725,7.2887
899,7.2881
710,7.2868
205,7.2854
1814,7.285
827,7.2845
735,7.2839
1637,7.2831
1917,7.2826
644,7.279
151,7.2774
495,7.2767
374,7.2751
604,7.274
9,7.2701
2041,7.2671
1040,7.2653
113,7.26
230,7.2589
1278,7.2555
1174,7.2539
457,7.2489
1870,7.2485
1984,7.2475
621,7.2464
335,7.2438
1336,7.2438
768,7.24
437,7.2341
1052,7.2283
673,7.2259
220,7.2253
1869,7.2239
880,7.2214
1453,7.2213
1970,7.2157
1569,7.2145
943,7.2097
1121,7.2084
2154,7.2049
843,7.203
375,7.2015
563,7.1969
770,7.1882
869,7.1856
829,7.1855
153,7.1832
548,7.1804
304,7.1733
1382,7.1731
2088,7.1701
583,7.1698
191,7.1688
128,7.165
1974,7.1607
1729,7.1541
1908,7.1535
1658,7.1491
488,7.1471
179,7.1417
668,7.1368
610,7.1342
1039,7.133
831,7.1306
749,7.1298
1033,7.1245
467,7.1181
507,7.1176
1062,7.1139
991,7.1129
146,7.1083
1254,7.1083
929,7.1047
259,7.1046
1922,7.0956
1061,7.0954
826,7.0917
1109,7.0874
2143,7.0811
2031,7.0727
1449,7.0724
343,7.0701
192,7.07
114,7.0694
493,7.0643
1931,7.0566
1664,7.0532
766,7.052
558,7.0492
1695,7.0478
960,7.0427
1451,7.0382
293,7.0372
982,7.0323
704,7.0323
1966,7.0284
1074,7.0255
53,7.0241
201,7.022
213,7.0182
99,7.0141
1804,7.0115
812,7.0111
287,7.0046
680,7.0027
987,7.002
730,6.9945
1334,6.993
1618,6.9904
997,6.9876
816,6.9819
762,6.981
338,6.9786
841,6.976
992,6.9744
1799,6.9702
1763,6.965
459,6.9594
170,6.9586
297,6.9584
354,6.9572
739,6.9571
966,6.9568
911,6.9541
2023,6.951
2160,6.9468
1891,6.9458
413,6.9458
758,6.942
1690,6.9338
1028,6.9307
64,6.9216
708,6.9213
1333,6.9177
1251,6.9168
138,6.9155
2066,6.9148
1855,6.9106
1017,6.9069
1152,6.9058
379,6.9055
1046,6.9019
932,6.8992
2068,6.8982
1395,6.8904
1114,6.8895
1669,6.8846
484,6.8838
2158,6.8825
2118,6.8819
805,6.8817
1432,6.8808
211,6.8785
1631,6.8745
1499,6.8696
521,6.8675
1460,6.8633
983,6.8569
324,6.853
1115,6.8487
1103,6.847
1198,6.8439
1727,6.8403
1309,6.8388
647,6.8354
345,6.8313
476,6.8243
1807,6.8234
1656,6.8153
596,6.8127
2165,6.8125
860,6.8125
117,6.8118
174,6.8114
445,6.8074
840,6.8067
1643,6.8061
800,6.8048
609,6.8006
1820,6.7994
390,6.7992
557,6.7987
399,6.7913
1761,6.7887
1687,6.7845
1660,6.7826
1352,6.782
1796,6.7802
508,6.7796
1831,6.7791
919,6.7749
895,6.7719
1419,6.7718
546,6.77
1885,6.7664
661,6.763
517,6.7578
1168,6.7526
852,6.7524
1991,6.7513
1298,6.7508
614,6.7504
1930,6.7503
147,6.7481
1427,6.7437
1675,6.7388
1983,6.7343
209,6.7341
1185,6.7338
2163,6.7333
235,6.7308
1128,6.7306
326,6.7294
839,6.7281
1464,6.7268
1871,6.7263
1916,6.7184
1520,6.7171
636,6.7148
1430,6.7093
392,6.7071
815,6.704
729,6.704
139,6.6959
1688,6.6892
1104,6.6881
794,6.6863
1196,6.6845
1776,6.6825
164,6.6779
382,6.6773
556,6.6754
1925,6.6744
887,6.6656
141,6.6655
1314,6.6638
1134,6.6601
1187,6.6585
1571,6.6584
544,6.658
363,6.6568
2153,6.6508
2007,6.6498
1551,6.6455
364,6.6394
1790,6.6317
485,6.6308
1893,6.6234
681,6.6232
909,6.6226
956,6.6184
351,6.6111
569,6.6104
639,6.6079
1506,6.6061
1671,6.6008
1787,6.5982
1757,6.5967
1942,6.5964
2020,6.596
1856,6.5954
511,6.5947
882,6.5941
954,6.591
1946,6.5877
1014,6.5876
931,6.5864
465,6.5864
311,6.5809
890,6.579
63,6.5779
1006,6.576
1368,6.568
254,6.5622
740,6.5597
368,6.5573
359,6.557
2029,6.5537
2171,6.551
1288,6.5469
66,6.5398
970,6.5359
475,6.5359
1529,6.5317
1220,6.5307
1977,6.5296
127,6.5266
1539,6.5208
828,6.5206
785,6.5146
765,6.5144
212,6.5126
2028,6.5118
1547,6.5117
1097,6.5113
568,6.5107
1525,6.5094
1219,6.5085
318,6.5072
1572,6.5062
512,6.5031
1183,6.5028
1243,6.5022
885,6.5021
637,6.4991
953,6.4951
963,6.4931
878,6.4923
2119,6.4921
2008,6.486
1404,6.4859
830,6.4825
2105,6.4823
186,6.4822
913,6.4778
771,6.4773
1077,6.471
1390,6.4667
385,6.4665
1784,6.4652
227,6.4565
777,6.4491
251,6.4476
709,6.4474
1130,6.4459
1485,6.4458
1177,6.4394
2036,6.4389
1274,6.4388
1069,6.4361
917,6.4336
897,6.4316
145,6.4285
1124,6.4282
875,6.4257
1133,6.4257
35,6.4172
900,6.413
622,6.4123
56,6.4116
1901,6.4075
1486,6.4014
1625,6.4003
1764,6.3939
1024,6.3939
261,6.3932
1066,6.3908
1317,6.39
1244,6.3898
547,6.3843
838,6.3833
1888,6.3831
1328,6.3826
447,6.3789
1283,6.3769
2134,6.3752
328,6.3736
1447,6.3727
289,6.3694
1742,6.3688
744,6.3688
327,6.3675
1809,6.3626
1268,6.3609
2025,6.3576
36,6.354
1964,6.3538
157,6.3493
1425,6.3416
564,6.3395
167,6.3383
665,6.3331
1217,6.3311
203,6.3309
275,6.3278
158,6.3234
959,6.3229
412,6.3176
143,6.3165
353,6.3152
357,6.3105
1993,6.3073
144,6.3055
1330,6.297
958,6.2927
579,6.2908
1821,6.2888
12,6.2853
619,6.2777
1941,6.2774
560,6.2768
1424,6.273
18,6.2662
1816,6.266
1920,6.2653
1704,6.2645
450,6.2558
1866,6.2514
190,6.2461
979,6.2447
1113,6.2407
539,6.2343
1042,6.2199
1868,6.218
342,6.2167
1531,6.2135
2127,6.2091
1171,6.2045
116,6.2018
951,6.2004
124,6.1986
1907,6.1966
581,6.1948
566,6.1902
1740,6.1901
27,6.1877
427,6.1847
1018,6.184
774,6.1825
376,6.1823
646,6.1749
872,6.173
648,6.1728
1629,6.1662
654,6.1579
97,6.1527
702,6.1459
1284,6.1428
283,6.138
1995,6.1339
772,6.1297
2098,6.1295
1939,6.1282
1611,6.1278
2024,6.1268
738,6.1223
2069,6.1214
2022,6.1184
790,6.1166
874,6.1155
804,6.11
71,6.11
1342,6.1095
1707,6.1089
857,6.1016
1307,6.1008
1214,6.0951
1935,6.0908
933,6.0874
2151,6.0743
1968,6.0724
1767,6.0627
341,6.0566
1502,6.0539
1116,6.0487
417,6.0434
142,6.0392
2125,6.0389
1079,6.0311
95,6.019
1472,6.0187
1848,6.0088
1562,5.9979
252,5.997
1312,5.9966
2040,5.9896
1663,5.984
159,5.984
1849,5.9825
1581,5.964
2003,5.9522
756,5.951
1372,5.9418
303,5.9378
1980,5.9376
244,5.9281
46,5.9215
545,5.9078
543,5.9052
1990,5.9023
1657,5.8962
741,5.8944
1446,5.8863
973,5.8849
2071,5.8782
1323,5.8661
1876,5.8556
1805,5.8522
606,5.8465
461,5.8308
724,5.8302
1592,5.8234
1906,5.8225
727,5.8184
1635,5.8138
660,5.8102
1988,5.8024
185,5.7994
550,5.7989
946,5.7952
1318,5.7879
1667,5.7866
1736,5.7856
1633,5.7853
458,5.7803
870,5.7705
1371,5.7703
748,5.7681
314,5.7664
524,5.7645
1374,5.754
1857,5.7467
225,5.7419
1360,5.7374
103,5.7366
1059,5.7346
2082,5.7268
1819,5.7094
584,5.6997
1238,5.6932
1827,5.682
38,5.6698
1598,5.6643
731,5.6583
215,5.654
540,5.6532
1019,5.6428
1302,5.6426
1979,5.6406
807,5.6298
999,5.6258
384,5.6123
978,5.6041
589,5.6038
1567,5.5975
80,5.591
1410,5.5845
1999,5.5719
1345,5.5705
1689,5.5638
37,5.5567
175,5.5506
1566,5.5453
823,5.5411
1853,5.5386
386,5.5376
320,5.5345
2170,5.5313
1987,5.5311
107,5.5306
669,5.5164
2048,5.5085
438,5.5082
250,5.5015
2097,5.4984
2176,5.4866
901,5.4785
109,5.4681
455,5.4678
2133,5.4664
248,5.4664
2149,5.4643
428,5.4608
698,5.4554
1262,5.4534
2128,5.447
876,5.4445
678,5.4445
1470,5.4293
712,5.4176
720,5.4149
912,5.4102
197,5.4074
1646,5.3998
775,5.3886
936,5.3775
1445,5.372
2005,5.3715
2062,5.3638
2061,5.3571
2086,5.3419
1604,5.3346
1117,5.3345
1465,5.3294
42,5.3279
1172,5.3258
893,5.3253
1442,5.3205
623,5.3138
797,5.2966
1537,5.2947
1388,5.2942
689,5.2829
1895,5.2759
277,5.2659
939,5.2651
2091,5.2548
2079,5.2489
825,5.241
1934,5.233
2049,5.2324
662,5.2318
1338,5.2297
499,5.2201
163,5.2103
340,5.2032
183,5.1903
1161,5.1761
1211,5.1701
1218,5.1694
34,5.1611
70,5.1509
1107,5.1496
422,5.1482
148,5.1404
638,5.1364
1320,5.1362
928,5.1356
629,5.1335
365,5.1327
176,5.1267
806,5.1232
1719,5.1186
1550,5.1157
938,5.1157
1299,5.1137
942,5.1124
383,5.1097
1170,5.1097
1933,5.1063
1327,5.1036
352,5.0983
947,5.0905
1976,5.0898
2001,5.0866
1043,5.0851
1165,5.08
1794,5.0728
1532,5.0698
733,5.0652
1559,5.0545
573,5.0497
1005,5.0494
1407,5.0395
255,5.0331
1448,5.0233
605,5.023
713,5.023
961,5.0176
1588,5.0151
1205,5.0118
1967,5.0117
13,5.0103
690,5.0091
1628,5.0003
594,4.9968
1576,4.9886
1016,4.9712
1494,4.9711
1783,4.9703
1932,4.9679
219,4.9546
1587,4.9517
498,4.9396
31,4.9257
290,4.9157
1436,4.9087
443,4.9073
281,4.9051
1501,4.9048
433,4.8985
873,4.8981
1741,4.8879
1096,4.8871
1709,4.8776
381,4.867
260,4.8641
1672,4.8626
1349,4.8526
510,4.8444
321,4.8415
137,4.8397
679,4.8391
1696,4.8342
1661,4.8288
1726,4.828
189,4.8269
2132,4.8253
1102,4.8202
1135,4.8185
355,4.8141
1957,4.7968
1496,4.7841
61,4.7838
1315,4.7828
1986,4.7825
1056,4.7767
1638,4.7756
152,4.7653
84,4.7531
1872,4.7476
1620,4.7446
2070,4.7291
166,4.7264
1468,4.7153
915,4.7021
2123,4.7014
555,4.6848
1145,4.6771
370,4.6687
2026,4.6567
2052,4.6566
85,4.6481
491,4.6471
1850,4.6327
1421,4.6271
1186,4.6175
180,4.6126
202,4.6085
1098,4.6071
846,4.5975
819,4.594
1366,4.5931
1713,4.5922
1778,4.5887
1004,4.5862
82,4.5826
2089,4.5809
2164,4.5784
404,4.5748
1938,4.5741
1088,4.5634
898,4.5611
280,4.5464
1927,4.5459
1415,4.542
1087,4.5387
969,4.5362
949,4.5316
972,4.5314
1724,4.5307
169,4.5134
921,4.5052
2053,4.4956
407,4.4853
549,4.4853
425,4.482
1924,4.4812
1306,4.4812
98,4.4803
582,4.4703
1136,4.4686
1316,4.4685
1148,4.4684
2002,4.4628
1041,4.4583
767,4.4563
1313,4.4497
1965,4.4476
1582,4.4405
1600,4.428
1521,4.4276
586,4.4213
1739,4.4102
1234,4.4079
1367,4.4079
1865,4.4056
1553,4.3923
360,4.384
1089,4.3821
1952,4.3798
348,4.3738
221,4.3574
45,4.3564
1884,4.3544
94,4.3544
322,4.3511
916,4.3472
278,4.343
1728,4.3342
877,4.3274
2142,4.3167
1543,4.3102
2169,4.3016
732,4.301
728,4.3006
1492,4.2997
1766,4.2984
104,4.2963
1380,4.2828
2073,4.2821
989,4.2795
1437,4.2763
776,4.2625
41,4.2583
1961,4.2578
1242,4.2557
54,4.2441
2034,4.2436
268,4.2415
1552,4.2394
1466,4.2368
136,4.2316
1755,4.2241
464,4.2203
1452,4.2156
1812,4.2101
1949,4.2085
1023,4.208
723,4.2055
2100,4.2049
415,4.2008
1478,4.2007
236,4.1947
288,4.1931
1332,4.1894
1189,4.1868
44,4.1848
1347,4.1749
1854,4.1656
1457,4.1622
1182,4.1543
990,4.149
32,4.1428
1504,4.1422
1507,4.1404
264,4.1358
67,4.1344
2108,4.1305
1802,4.1301
1194,4.127
1266,4.1205
1962,4.1201
1692,4.1077
964,4.0945
716,4.093
1169,4.0929
181,4.087
1545,4.077
1826,4.0731
1665,4.0703
1904,4.0695
1839,4.0674
1599,4.062
1867,4.0525
1956,4.0456
2129,4.0375
1681,4.0372
1614,4.0358
1684,4.0303
1519,4.0162
1616,4.0157
835,4.0083
1181,4.0056
570,3.9948
883,3.9892
168,3.9832
1297,3.9758
472,3.9754
100,3.9689
398,3.9677
228,3.9599
505,3.9533
1775,3.9492
1947,3.9492
1252,3.9345
2135,3.9306
1580,3.9185
271,3.9184
1282,3.9154
1157,3.9112
1622,3.9042
2168,3.8943
434,3.8943
1272,3.8942
416,3.8938
1887,3.8864
1601,3.886
760,3.8777
1608,3.8625
1105,3.862
1301,3.852
2080,3.8518
72,3.847
1914,3.8406
30,3.8377
787,3.8267
24,3.8254
1045,3.8213
1771,3.8207
1012,3.8202
1840,3.8121
1841,3.8046
2112,3.8029
1818,3.794
1362,3.7812
1146,3.7784
534,3.7771
2016,3.7763
431,3.7577
1617,3.7523
1179,3.7494
1190,3.7469
1240,3.7362
1255,3.7317
1030,3.7226
811,3.7222
850,3.7051
265,3.7021
1546,3.7018
2124,3.6969
587,3.6888
1178,3.6877
1541,3.6823
226,3.6718
1544,3.6572
409,3.645
1918,3.6358
1440,3.6316
593,3.6191
247,3.614
1772,3.6071
333,3.6064
440,3.6039
1378,3.5949
188,3.5916
2046,3.5777
1078,3.5767
1363,3.5755
1391,3.5693
2102,3.5651
818,3.5533
1405,3.5458
52,3.5452
1022,3.5422
1454,3.5416
1099,3.5414
941,3.5393
377,3.5325
121,3.5225
482,3.5225
1162,3.5198
344,3.5021
711,3.5003
1898,3.4971
1469,3.4969
718,3.4967
552,3.4955
1207,3.4789
801,3.4742
1303,3.474
1762,3.4715
1890,3.4694
194,3.4687
902,3.4669
1860,3.4587
701,3.4575
1279,3.4563
1985,3.4475
1593,3.4472
1694,3.4464
1564,3.4438
1597,3.4404
944,3.4402
1365,3.4337
1747,3.43
1142,3.4263
29,3.4216
1339,3.4214
642,3.4161
1795,3.4143
1249,3.4108
2042,3.4043
707,3.4004
1392,3.3886
62,3.3766
1959,3.3708
676,3.361
1754,3.3486
160,3.3478
531,3.3398
625,3.3389
1414,3.3368
126,3.3367
859,3.3341
1456,3.3291
1396,3.329
1699,3.3246
533,3.3096
1720,3.2949
1837,3.2924
1248,3.2889
1376,3.2882
530,3.2853
753,3.2762
1341,3.2689
307,3.2675
101,3.2607
554,3.2495
1055,3.2425
337,3.2354
1443,3.227
1229,3.2209
1859,3.2199
675,3.214
1263,3.2065
486,3.2057
19,3.2005
1703,3.1984
1260,3.1934
1344,3.1844
111,3.1823
1212,3.1815
414,3.1796
575,3.1717
1585,3.1715
574,3.1634
1711,3.1608
1011,3.1583
1355,3.1563
155,3.1558
373,3.1498
784,3.1395
1215,3.1265
1160,3.1235
1269,3.1182
1204,3.1111
2059,3.1109
908,3.1088
1399,3.1088
847,3.1026
968,3.0995
442,3.0974
78,3.0973
1361,3.089
1080,3.0773
295,3.0709
975,3.0607
1797,3.0599
1490,3.0558
1226,3.0431
154,3.0285
224,3.0254
200,3.0155
561,3.0146
1488,3.0073
238,3.0013
1589,3.0009
1577,2.9945
1058,2.9913
628,2.9894
1285,2.9891
1149,2.9862
55,2.9802
216,2.98
349,2.9655
1973,2.951
683,2.9399
763,2.9202
1259,2.9165
223,2.9162
2083,2.915
910,2.912
1936,2.9037
90,2.9004
140,2.9004
2051,2.8982
1151,2.897
1630,2.8957
854,2.8851
1540,2.8791
2085,2.8777
1398,2.8774
292,2.8659
1261,2.8654
329,2.8585
598,2.8577
241,2.8576
862,2.8562
11,2.8552
2138,2.8551
2058,2.8422
28,2.8375
378,2.8336
102,2.827
520,2.8208
306,2.8208
1202,2.8073
129,2.8034
1575,2.8005
1710,2.7967
640,2.7795
1874,2.7745
2004,2.7639
615,2.7509
177,2.746
1070,2.7458
1677,2.734
580,2.7333
1094,2.7281
1060,2.7278
1397,2.7248
920,2.7173
1929,2.6994
285,2.6969
1975,2.6925
1647,2.6892
879,2.6847
2155,2.6773
88,2.6771
2045,2.666
922,2.6606
1353,2.6449
1971,2.6285
1560,2.6248
68,2.6216
25,2.6187
1528,2.617
737,2.615
394,2.6028
1159,2.6027
1093,2.6004
1013,2.5853
523,2.5846
1377,2.5843
865,2.5835
380,2.5798
1958,2.5771
130,2.5759
1836,2.5701
1435,2.5676
48,2.553
1154,2.5391
672,2.5366
671,2.5329
684,2.5234
1000,2.5169
452,2.5168
110,2.5133
1304,2.5066
2054,2.5039
1090,2.489
184,2.4848
745,2.4792
49,2.4792
231,2.4778
120,2.4772
460,2.4683
469,2.4631
1972,2.4476
119,2.4462
362,2.4421
1406,2.4366
726,2.4281
2145,2.4172
1697,2.4131
2057,2.4065
451,2.4037
1815,2.4017
2012,2.4007
350,2.3975
657,2.3931
2101,2.3823
273,2.3763
2067,2.3706
389,2.3646
1536,2.3582
1439,2.3552
985,2.3548
2015,2.3546
22,2.3512
387,2.3486
1523,2.3369
1322,2.3333
1394,2.3279
1997,2.3175
1265,2.3144
